Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
CESSNA,150G,29,0.10344827586206896,0.3103448275862069,0.0,0.41379310344827586
Piper,PA 12,18,0.0,0.05555555555555555,0.0,0.05555555555555555
Bell,206-L4,15,0.0,0.2,0.0,0.2
PIPER,PA-46-350P,13,0.0,0.5384615384615384,0.0,0.5384615384615384
PIPER,PA-38-112,24,0.4166666666666667,0.20833333333333334,0.0,0.625
Bell,47-D1,10,0.0,0.1,0.0,0.1
Bell,47D-1,10,0.0,0.0,0.0,0.0
Bell,47G3B1,14,0.0,0.21428571428571427,0.0,0.21428571428571427
PIPER,PA-28-151,19,0.3684210526315789,0.42105263157894735,0.0,0.7894736842105263
PIPER,PA-22-160,25,0.0,0.24,0.0,0.24
Boeing,717-200,16,0.0,0.0625,0.0,0.0625
Boeing,727,18,0.1111111111111111,0.2777777777777778,0.0,0.3888888888888889
Boeing,737,54,0.0,0.14814814814814814,0.0,0.14814814814814814
Boeing,737-322,13,0.0,0.15384615384615385,0.0,0.15384615384615385
Garlick,UH-1H,13,0.23076923076923078,0.3076923076923077,0.0,0.5384615384615385
Boeing,747,20,0.0,0.15,0.0,0.15
PIPER,PA-20,18,0.05555555555555555,0.0,0.0,0.05555555555555555
Boeing,757-222,16,0.0625,0.375,0.0,0.4375
Boeing,757-223,10,0.0,0.5,0.0,0.5
Boeing,757-232,19,0.0,0.5789473684210527,0.0,0.5789473684210527
Boeing,767-300,13,0.0,0.23076923076923078,0.0,0.23076923076923078
Boeing,777,12,0.0,0.3333333333333333,0.0,0.3333333333333333
EVEKTOR-AEROTECHNIK AS,SPORTSTAR,19,0.0,0.05263157894736842,0.0,0.05263157894736842
ERCOUPE,415-C,12,0.16666666666666666,0.5833333333333334,0.0,0.75
ERCOUPE,415,10,0.0,0.4,0.0,0.4
EMBRAER,EMB-145LR,14,0.0,0.5714285714285714,0.0,0.5714285714285714
SCHWEIZER AIRCRAFT CORP,G-164B,10,0.0,0.1,0.0,0.1
SCHWEIZER,SGS 2-33A,17,0.058823529411764705,0.35294117647058826,0.0,0.411764705882353
